"Activate Trusted Shops Buyer Protection","Aktywuj Ochronę Kupującego Trusted Shops"
"Error Email Recipient","Odbiorca E-maila zawierającego opis błędu"
"Error Email Sender","Nadawca E-maila zawierającego opis błędu"
"Error Email Template","Szablon E-maila zawierającego opis błędu"
"Please set here the recipient for error mails.","Proszę podać tutaj odbiorce E-maila zawierającego opis błędu."
"Please select here the sender of error emails.","Proszę podać tutaj nadawce E-maila zawierającego opis błędu."
"Please select here the email template.","Proszę wybrać tutaj szablon E-maila zawierającego opis błędu."
"Trusted Shops Seal","Znak Jakości Trusted Shops"
"Trusted Shops Buyer Protection","Ochrona Kupującego Trusted Shops"
"Buyer Protection variation","Wariant ochrony kupującego"
"Trusted Shops Password","Hasło Trusted Shops"
"Trusted Shops Username","Użytkownik Trusted Shops"
"Buyer Protection mode","Rodzaj ochrony kupującego"
"Activate Trusted Shops seal box","Aktywuj boks Znaku Jakości Trusted Shops"
"Trusted Shops seal code","Kod Znaku Jakości Trusted Shops"
"Trusted Shops seal image","Logo Znaku Jakości Trusted Shops"
"Trusted Shops seal background image","Tło Znaku Jakości Trusted Shops"
"SOAP Check","Sprawdzenie SOAP"
"Download the seal image from the Trusted Shops Seal Box Generator.","Pobierz logo znaku jakości z generatora boksa Znaku Jakości Trusted Shops."
"Download the background image from the Trusted Shops Seal Box Generator.","Pobierz tło znaku jakości z generatora boksa Znaku Jakości Trusted Shops."
"Trusted Shops Buyer Protection (recommended)","Ochrona Kupującego Trusted Shops (zalecana)"
"The ",""
"Trusted Shops buyer protection","Ochrona Kupującego Trusted Shops "
"secures your online purchase. I agree with the transfer and","zabezpiecza twój zakup w internecie. Zgadzam się z przekazywaniem i"
"saving","zapisywaniem"
"of my email address for the buyer protection handling by Trusted Shops.","mojego adresu e-mail przez Trusted Shops w celu realizacji usługi Ochrony Kupującego."
"Conditions","Warunki gwarancji"
"for the buyer protection.","dla ochrony kupującego."
"Attention! Do you really want to change the 'SKU'?","Uwaga! Czy naprawdę chcesz zmienić 'SKU'?"
"Attention! Change the 'SKU' only when 'Trusted Shops' requests for this!","Uwaga! Zmień 'SKU' tylko wtedy, gdy 'Trusted Shops' o to prośiło!"
"Apply now!","Korzystaj z atrakcyjnych cen!"
"Create the code using the Trusted Shops Seal Box <a onclick=""window.open('http://www.trustedshops.de/shopbetreiber/siegelbox/index.php')"">Generator</a>.<br />Path to image files are beeing adjusted automatically. <b>Do not change!</b>","Twórz kod za pomocą generatora boksu Znaku Jakości Trusted Shops <a onclick=""window.open('http://www.trustedshops.pl/handlowcy/logogenerator/index.php')"">Generator</a>.<br /> Ścieżka do pliku graficznego ustawi się automatycznie. <b>Nie zmieniaj!</b>"
"Trusted Shops Seal of Approval - Click to verify.","Znak Jakości Trusted Shops – tu możesz sprawdzić ważność!"
"Register for Trusted Shops Buyer Protection","Zgłoszenie do Ochrony Kupującego Trusted Shops"
"We offer you the Trusted Shops Buyer Protection as an additional service. We cover all costs for this guarantee. All you have to do is register!","Jako dodatkowy serwis oferujemy Ochronę Kupującego Trusted Shops. Przejmujemy pełny koszt tej gwarancji, wystarczy się tylko zarejestrować, aby z niej skorzystać."
"Payment mapping","Mapowanie płatności"
"On the left side, you can find the Trusted Shops definition of payment methods. Please select the according payment method used in your shop in the box on the right.","Po lewej stronie, można znaleźć definicje metod płatności Trusted Shops. Proszę wybrać metody płatności wykorzystywane w sklepie w polu po prawej stronie."
"Not in use","nie jest używany"
"Direct debit","polecenie zapłaty"
"Credit Card","karta kredytowa"
"Invoice","faktura"
"Cash on delivery","gotówką przy dostawie"
"Prepayment","przedpłata"
"Cheque","czek"
"Paybox","Paybox"
"PayPal","PayPal"
"Cash on pickup","gotówką przy odbiorze"
"Financing","finansowanie"
"Leasing","leasing"
"T-Pay","T-Pay"
"Click &amp; Buy","Click&amp;Buy"
"Giropay","Giropay"
"Google Checkout","Google Checkout"
"Online shop payment card","karta sklepu"
"DIRECTebanking.com","bezpośrednio przez e-banking"
"moneybookers.com","moneybookers.com"
"Other method of payment","inne"
"http://www.trustedshops.com/merchants/membership.html","http://www.trustedshops.pl/handlowcy/cennik.html"
"Trusted Shops quality seal","Znak Jakości Trusted Shops"
"Seal of Approval and Buyer Protection","Znak Jakości i Ochrona Kupującego"
"Trusted Shops is the well-known internet Seal of Approval for online shops which also offers customers a Buyer Protection. During the audit, your online shop is subjected to extensive and thorough tests. This audit, consisting of over 100 individual criteria, is based on the requirements of consumer protection, national and European laws.","Trusted Shops jest znanym internetowym znakiem jakości przydzielanym sklepom internetowym wraz z tzw. Ochroną Kupującego dla Państwa klientów. W przypadku certyfikacji państwa sklep internetowy zostaje poddany rozległym testom. Taki audyt obejmuje ponad 100 kryteriów, kierując się zarówno wymaganiami ochrony konsumenta, jak i prawem krajowym oraz UE."
"More trust leads to more sales!","Większe obroty przez większe zaufanie!"
"The Trusted Shops seal of approval is the optimal way to increase the trust of your online customers. Trust increases customers' willingness to buy from you.","Znak jakości Trusted Shops to optymalny sposób na zwiększenie zaufania klientów internetowych. Zaufanie zwiększa gotowość klientów do dokonywania zakupów u Państwa."
"Less abandoned purchases","Mniej przerwanych zakupów"
"Give your online customers a strong reason to buy proposing the Trusted Shops Buyer Protection. This additional security leads to less shopping basket abandonment","Oferują Państwo ważki argument swoim klientom internetowym: Ochronę Kupującego Trusted Shops. Dzięki temu dodatkowemu zabezpieczeniu rzadziej dochodzi do przerywania zakupów."
"Profitable and long-term customer relationship","Zyskowne i trwałe stosunki z klientami"
"For many online shoppers, the Trusted Shops Seal of Approval with Buyer Protection is an effective sign of quality for safe shopping on the internet. One-time buyers become regular customers.","Znak Jakości Trusted Shops z Ochroną Kupującego to dla wielu kupujących w Internecie trwały sygnał bezpiecznych zakupów internetowych. Z jednorazowych nabywców powstają stali klienci."
"Only required for Buyer Protection Excellence.","Wymagane tylko w przypadku Buyer protection Excellence."
"Incl. tax","w tym zawarty VAT"
"Trusted Shops documentation","Dokumentacja Trusted Shops"
"Checking Trusted Shops ID: %s | Buyer Protection version: %s","Sprawdzam Trusted Shops ID: %s | Wersja Ochrony Kupującego: %s"
